node_number,Orbit_type_I,Orbit_type_II,two_Orbit_type
0,22,19,1922
1,22,19,1922
2,15,18,1518
3,15,19,1519
4,18,15,1518
5,18,19,1819
6,19,15,1519
7,15,19,1519
8,15,18,1518
9,18,15,1518
10,19,18,1819
11,21,20,2021
12,19,18,1819
13,20,21,2021
14,19,20,1920
15,16,21,1621
16,19,20,1920
17,15,18,1518
18,15,19,1519
19,19,15,1519
20,18,15,1518
21,18,15,1518
22,19,18,1819
23,15,19,1519
24,15,4,415
25,22,19,1922
26,22,19,1922
27,18,16,1618
28,15,4,415
29,22,19,1922
30,15,19,1519
31,22,32,2232
32,15,18,1518
33,19,15,1519
34,15,16,1516
35,19,15,1519
36,15,16,1516
37,19,15,1519
38,19,20,1920
39,22,19,1922
40,18,15,1518
41,22,19,1922
42,16,21,1621
43,15,21,1521
44,19,22,1922
45,18,15,1518
46,22,19,1922
47,22,19,1922
48,22,19,1922
49,15,19,1519
50,19,22,1922
51,18,19,1819
52,19,22,1922
53,19,22,1922
54,15,19,1519
55,15,1,115
56,22,20,2022
57,18,20,1820
58,18,16,1618
59,16,15,1516
60,15,19,1519
61,16,19,1619
62,15,16,1516
63,19,15,1519
64,15,18,1518
65,18,19,1819
66,18,24,1824
67,15,16,1516
68,15,16,1516
69,15,16,1516
70,15,4,415
71,15,19,1519
72,22,19,1922
73,15,19,1519
74,19,22,1922
75,19,22,1922
76,22,19,1922
77,15,18,1518
78,19,18,1819
79,22,19,1922
80,19,24,1924
81,15,18,1518
82,15,16,1516
83,15,19,1519
84,15,19,1519
85,22,19,1922
86,15,19,1519
87,19,18,1819
88,15,4,415
89,15,19,1519
90,22,19,1922
91,22,19,1922
92,22,19,1922
93,18,15,1518
94,22,19,1922
95,19,22,1922
96,18,15,1518
97,19,15,1519
98,18,15,1518
99,18,15,1518
100,15,19,1519
101,19,22,1922
102,22,19,1922
103,22,19,1922
104,15,19,1519
105,18,15,1518
106,15,19,1519
107,15,19,1519
108,15,19,1519
109,15,18,1518
110,18,19,1819
111,18,19,1819
112,18,19,1819
113,22,19,1922
114,18,19,1819
115,15,19,1519
116,18,19,1819
117,15,19,1519
118,22,19,1922
119,15,19,1519
120,22,19,1922
121,19,22,1922
122,22,19,1922
123,18,19,1819
124,18,19,1819
125,22,19,1922
126,19,15,1519
127,22,19,1922
128,18,15,1518
129,15,19,1519
130,19,15,1519
131,22,19,1922
132,22,19,1922
133,19,15,1519
134,15,19,1519
135,19,18,1819
136,18,15,1518
137,19,18,1819
138,22,19,1922
139,22,19,1922
140,19,15,1519
141,22,19,1922
142,18,24,1824
143,22,19,1922
144,22,19,1922
145,22,19,1922
146,19,15,1519
147,22,19,1922
148,22,19,1922
149,19,15,1519
150,18,19,1819
151,22,19,1922
152,22,19,1922
153,15,19,1519
154,22,18,1822
155,15,4,415
156,22,15,1522
157,19,22,1922
158,15,19,1519
159,15,19,1519
160,22,19,1922
161,15,19,1519
162,15,19,1519
163,18,15,1518
164,22,19,1922
165,22,19,1922
166,15,18,1518
167,15,19,1519
168,15,16,1516
169,15,18,1518
170,18,15,1518
171,19,22,1922
172,18,15,1518
173,22,19,1922
174,18,15,1518
175,18,15,1518
176,15,19,1519
177,22,19,1922
178,18,15,1518
179,22,20,2022
180,19,22,1922
181,18,19,1819
182,15,19,1519
183,22,19,1922
184,22,19,1922
185,18,15,1518
186,19,18,1819
187,22,19,1922
188,15,19,1519
189,22,19,1922
190,15,18,1518
191,15,18,1518
192,22,19,1922
193,22,19,1922
194,15,19,1519
195,19,22,1922
196,22,19,1922
197,18,19,1819
198,15,19,1519
199,15,18,1518
200,22,19,1922
201,15,1,115
202,22,19,1922
203,22,19,1922
204,22,19,1922
205,19,15,1519
206,15,4,415
207,18,19,1819
208,19,1,119
209,15,18,1518
210,18,15,1518
211,22,19,1922
212,15,19,1519
213,15,19,1519
214,15,18,1518
215,19,15,1519
216,15,19,1519
217,15,19,1519
218,22,19,1922
219,22,19,1922
220,22,19,1922
221,18,24,1824
222,22,19,1922
223,15,19,1519
224,18,15,1518
225,18,15,1518
226,18,19,1819
227,18,19,1819
228,18,19,1819
229,22,18,1822
230,22,19,1922
231,22,31,2231
232,22,19,1922
233,15,16,1516
234,15,19,1519
235,22,19,1922
236,19,22,1922
237,18,15,1518
238,19,22,1922
239,18,19,1819
240,18,15,1518
241,15,18,1518
242,15,19,1519
243,15,18,1518
244,18,15,1518
245,18,19,1819
246,18,15,1518
247,19,18,1819
248,15,18,1518
249,15,18,1518
250,19,15,1519
251,18,15,1518
252,22,19,1922
253,22,19,1922
254,22,19,1922
255,22,19,1922
256,22,19,1922
257,22,19,1922
258,22,19,1922
259,19,6,619
260,18,15,1518
261,18,15,1518
262,22,19,1922
263,19,18,1819
264,18,24,1824
265,18,15,1518
266,22,19,1922
267,15,19,1519
268,22,19,1922
269,18,19,1819
270,22,19,1922
271,22,19,1922
272,22,19,1922
273,22,19,1922
274,19,1,119
275,15,22,1522
276,15,19,1519
277,15,18,1518
278,22,19,1922
279,19,15,1519
280,22,19,1922
281,15,1,115
282,22,18,1822
283,22,31,2231
284,22,19,1922
285,18,15,1518
286,22,19,1922
287,19,22,1922
288,22,19,1922
289,18,15,1518
290,15,19,1519
291,22,20,2022
292,15,4,415
293,19,18,1819
294,15,18,1518
295,15,18,1518
296,18,19,1819
297,22,19,1922
298,18,15,1518
299,22,19,1922
300,18,15,1518
301,19,22,1922
302,15,19,1519
303,18,15,1518
304,19,22,1922
305,15,19,1519
306,19,15,1519
307,15,18,1518
308,15,18,1518
309,19,15,1519
310,15,19,1519
311,18,19,1819
312,22,19,1922
313,22,19,1922
314,18,15,1518
315,15,24,1524
316,22,19,1922
317,22,19,1922
318,18,15,1518
319,15,19,1519
320,15,4,415
321,22,19,1922
322,19,22,1922
323,15,18,1518
324,22,15,1522
325,18,15,1518
326,19,22,1922
327,15,19,1519
328,22,19,1922
329,19,15,1519
330,22,19,1922
331,18,19,1819
332,18,15,1518
333,22,19,1922
334,22,19,1922
335,22,19,1922
336,15,19,1519
337,19,15,1519
338,22,19,1922
339,18,15,1518
340,18,22,1822
341,18,15,1518
342,15,19,1519
343,15,18,1518
344,22,19,1922
345,15,19,1519
346,18,19,1819
347,22,19,1922
348,18,15,1518
349,15,19,1519
350,18,15,1518
351,15,18,1518
352,15,18,1518
353,19,22,1922
354,15,19,1519
355,22,19,1922
356,24,15,1524
357,19,22,1922
358,22,18,1822
359,15,19,1519
360,22,19,1922
361,22,19,1922
362,15,18,1518
363,22,19,1922
364,15,18,1518
365,22,19,1922
366,15,19,1519
367,19,15,1519
368,19,18,1819
369,22,19,1922
370,15,19,1519
371,18,15,1518
372,18,15,1518
373,15,29,1529
374,19,18,1819
375,22,19,1922
376,15,19,1519
377,22,19,1922
378,15,4,415
379,22,19,1922
380,18,19,1819
381,19,22,1922
382,15,16,1516
383,22,19,1922
384,19,15,1519
385,18,19,1819
386,15,19,1519
387,18,15,1518
388,22,19,1922
389,22,19,1922
390,19,22,1922
391,18,19,1819
392,15,19,1519
393,15,18,1518
394,15,19,1519
395,19,15,1519
396,15,18,1518
397,18,15,1518
398,19,18,1819
399,19,15,1519
400,29,18,1829
401,19,29,1929
402,19,18,1819
403,18,15,1518
404,15,19,1519
405,15,0,015
406,22,19,1922
407,22,19,1922
408,18,19,1819
409,15,19,1519
410,32,22,2232
411,22,19,1922
412,18,15,1518
413,15,19,1519
414,15,18,1518
415,18,29,1829
416,22,15,1522
417,18,15,1518
418,22,19,1922
419,22,19,1922
420,19,22,1922
421,22,19,1922
422,22,20,2022
423,22,19,1922
424,19,22,1922
425,15,1,115
426,22,19,1922
427,22,19,1922
428,18,15,1518
429,22,19,1922
430,15,18,1518
431,15,18,1518
432,15,19,1519
433,15,16,1516
434,18,24,1824
435,18,24,1824
436,22,19,1922
437,15,18,1518
438,15,18,1518
439,15,18,1518
440,18,15,1518
441,19,22,1922
442,18,15,1518
443,15,19,1519
444,15,19,1519
445,22,19,1922
446,22,19,1922
447,22,19,1922
448,15,18,1518
449,15,18,1518
450,15,19,1519
451,22,19,1922
452,19,22,1922
453,15,19,1519
454,15,24,1524
455,15,4,415
456,19,4,419
457,22,19,1922
458,15,19,1519
459,15,18,1518
460,18,15,1518
461,18,15,1518
462,18,15,1518
463,15,18,1518
464,22,19,1922
465,22,19,1922
466,18,19,1819
467,18,24,1824
468,18,15,1518
469,22,19,1922
470,15,18,1518
471,22,19,1922
472,22,19,1922
473,22,19,1922
474,18,19,1819
475,22,19,1922
476,18,19,1819
477,15,19,1519
478,15,19,1519
479,18,15,1518
480,19,15,1519
481,18,15,1518
482,22,19,1922
483,19,22,1922
484,22,19,1922
485,15,19,1519
486,22,19,1922
487,22,19,1922
488,15,18,1518
489,18,15,1518
490,22,19,1922
491,19,18,1819
492,19,18,1819
493,18,19,1819
494,18,15,1518
495,22,19,1922
496,15,18,1518
497,22,19,1922
498,19,18,1819
499,18,15,1518
500,15,18,1518
501,18,15,1518
502,18,19,1819
503,22,19,1922
504,18,15,1518
505,18,19,1819
506,15,18,1518
507,22,19,1922
508,22,19,1922
509,22,19,1922
510,15,19,1519
511,22,19,1922
512,22,19,1922
513,22,19,1922
514,18,24,1824
515,15,1,115
516,15,1,115
517,22,19,1922
518,22,19,1922
519,19,15,1519
520,18,15,1518
521,18,15,1518
522,22,19,1922
523,22,19,1922
524,18,19,1819
525,15,16,1516
526,18,19,1819
527,22,19,1922
528,22,19,1922
529,15,19,1519
530,18,19,1819
531,15,19,1519
532,15,1,115
533,18,16,1618
534,22,19,1922
535,22,15,1522
536,22,15,1522
537,22,19,1922
538,19,22,1922
539,19,15,1519
540,22,19,1922
541,22,19,1922
542,22,19,1922
543,15,19,1519
544,18,15,1518
545,19,15,1519
546,22,19,1922
547,22,19,1922
548,22,19,1922
549,22,19,1922
550,22,19,1922
551,15,18,1518
552,22,19,1922
553,15,19,1519
554,22,19,1922
555,15,19,1519
556,22,19,1922
557,18,19,1819
558,18,15,1518
559,19,15,1519
560,19,22,1922
561,18,15,1518
562,19,22,1922
563,18,15,1518
564,18,15,1518
565,18,15,1518
566,19,22,1922
567,18,19,1819
568,22,19,1922
569,19,22,1922
570,18,15,1518
571,15,18,1518
572,22,19,1922
573,18,19,1819
574,19,22,1922
575,15,19,1519
576,19,15,1519
577,19,22,1922
578,19,22,1922
579,22,19,1922
580,18,15,1518
581,19,22,1922
582,19,22,1922
583,15,19,1519
584,19,6,619
585,15,18,1518
586,22,19,1922
587,18,19,1819
588,22,18,1822
589,18,19,1819
590,22,19,1922
591,15,18,1518
592,15,18,1518
593,22,19,1922
594,15,19,1519
595,22,19,1922
596,18,19,1819
