,node_number,Orbit_type_I,Orbit_type_II,two_Orbit_type
0,0,18,16,1618
1,1,15,18,1518
2,2,18,15,1518
3,3,18,15,1518
4,4,15,18,1518
5,5,1,6,16
6,6,21,20,2021
7,7,18,4,418
8,8,72,35,3572
9,9,15,18,1518
10,10,18,15,1518
11,11,72,35,3572
12,12,18,15,1518
13,13,2,7,27
14,14,22,18,1822
15,15,18,19,1819
16,16,72,35,3572
17,17,18,16,1618
18,18,72,35,3572
19,19,0,35,035
20,20,18,19,1819
21,21,72,35,3572
22,22,72,35,3572
23,23,72,35,3572
24,24,0,35,035
25,25,72,35,3572
26,26,72,35,3572
27,27,72,35,3572
28,28,15,18,1518
29,29,18,16,1618
30,30,15,18,1518
31,31,18,19,1819
32,32,72,35,3572
33,33,0,35,035
34,34,18,15,1518
35,35,4,0,04
36,36,0,2,02
37,37,18,19,1819
38,38,72,35,3572
39,39,18,15,1518
40,40,15,4,415
41,41,72,35,3572
42,42,15,16,1516
43,43,18,16,1618
44,44,72,35,3572
45,45,72,35,3572
46,46,18,15,1518
47,47,15,18,1518
48,48,18,15,1518
49,49,72,35,3572
50,50,72,35,3572
51,51,72,35,3572
52,52,18,15,1518
53,53,0,35,035
54,54,18,15,1518
55,55,18,15,1518
56,56,0,35,035
57,57,0,1,01
58,58,72,35,3572
59,59,15,19,1519
60,60,22,19,1922
61,61,15,19,1519
62,62,18,15,1518
63,63,15,18,1518
64,64,72,35,3572
65,65,18,15,1518
66,66,72,35,3572
67,67,18,15,1518
68,68,19,18,1819
69,69,72,35,3572
70,70,72,35,3572
71,71,72,35,3572
72,72,15,18,1518
73,73,21,16,1621
74,74,18,15,1518
75,75,18,15,1518
76,76,19,18,1819
77,77,22,15,1522
78,78,18,15,1518
79,79,72,35,3572
80,80,72,35,3572
81,81,15,19,1519
82,82,0,35,035
83,83,0,1,01
84,84,18,15,1518
85,85,19,18,1819
86,86,72,35,3572
87,87,0,3,03
88,88,15,16,1516
89,89,15,18,1518
90,90,72,35,3572
91,91,0,35,035
92,92,72,35,3572
93,93,72,35,3572
94,94,15,18,1518
95,95,72,35,3572
96,96,0,35,035
97,97,19,15,1519
98,98,15,18,1518
99,99,18,15,1518
100,100,72,35,3572
101,101,72,35,3572
102,102,15,19,1519
103,103,19,15,1519
104,104,72,35,3572
105,105,15,18,1518
106,106,15,18,1518
107,107,18,19,1819
108,108,18,16,1618
109,109,19,18,1819
110,110,18,15,1518
111,111,18,15,1518
112,112,18,23,1823
113,113,18,15,1518
114,114,72,35,3572
115,115,0,10,010
116,116,15,4,415
117,117,0,35,035
118,118,18,15,1518
119,119,18,15,1518
120,120,15,18,1518
121,121,15,18,1518
122,122,18,15,1518
123,123,18,15,1518
124,124,18,15,1518
125,125,23,21,2123
126,126,0,2,02
127,127,18,15,1518
128,128,0,2,02
129,129,18,15,1518
130,130,18,16,1618
131,131,18,15,1518
132,132,72,35,3572
133,133,18,15,1518
134,134,15,19,1519
135,135,15,1,115
136,136,15,18,1518
137,137,15,18,1518
138,138,18,15,1518
139,139,18,15,1518
140,140,19,15,1519
141,141,72,35,3572
142,142,18,15,1518
143,143,0,4,04
144,144,18,15,1518
145,145,18,15,1518
146,146,18,15,1518
147,147,18,15,1518
148,148,18,15,1518
149,149,16,18,1618
150,150,15,0,015
151,151,18,15,1518
152,152,15,16,1516
153,153,72,35,3572
154,154,72,35,3572
155,155,18,16,1618
156,156,18,19,1819
157,157,15,0,015
158,158,15,19,1519
159,159,15,19,1519
160,160,18,15,1518
161,161,18,19,1819
162,162,18,21,1821
163,163,72,35,3572
164,164,15,19,1519
165,165,18,15,1518
166,166,20,21,2021
167,167,18,15,1518
168,168,15,18,1518
169,169,72,35,3572
170,170,18,15,1518
171,171,19,18,1819
172,172,0,2,02
173,173,18,15,1518
174,174,1,18,118
175,175,18,15,1518
176,176,15,18,1518
177,177,16,2,216
178,178,0,2,02
179,179,18,16,1618
180,180,0,2,02
181,181,18,15,1518
182,182,15,18,1518
183,183,21,23,2123
184,184,21,16,1621
185,185,18,15,1518
186,186,15,4,415
187,187,72,35,3572
188,188,18,15,1518
189,189,18,16,1618
190,190,18,15,1518
191,191,18,15,1518
192,192,16,21,1621
193,193,18,15,1518
194,194,0,2,02
195,195,15,21,1521
196,196,18,15,1518
197,197,18,15,1518
198,198,18,19,1819
199,199,18,15,1518
200,200,18,15,1518
